productLink,count,skus
"https://www.shirongpaper.com/product-eco-friendly-cup-logo-custom-flexography-printed-paper-cup-fan-for-hot-coffee-paper-cup-with-sleeves-and-lid","7","KH-FD-CUPFAN-150350-PR-001; KH-FD-CUPFAN-170-PR-073; KH-FD-CUPFAN-180-PE-074; KH-FD-CUPFAN-190-PR-075; KH-FD-CUPFAN-210-PR-076; KH-FD-CUPFAN-230-PE-077; KH-FD-CUPFAN-240-PR-078"
"https://www.shirongpaper.com/product-eco-friendly-cup-logo-custom-flexography-printed-single-wall-pe-coated-paper-cup-fan-for-hot-coffee-paper-cup","7","KH-FD-CUPFAN-150350-PR-002; KH-FD-CUPFAN-280-PR-079; KH-FD-CUPFAN-300-PE-080; KH-FD-CUPFAN-320-PR-081; KH-FD-CUPFAN-350-PR-082; KH-FD-CUPFAN-150-PE-083; KH-FD-CUPFAN-170-PR-084"
"https://www.shirongpaper.com/product-7-oz-shirong-die-cut-flexography-printing-coffee-cups-pe-coated-paper-fan-raw-material-for-paper-cup-printing-machine","7","KH-FD-CUPFAN-150350-PR-003; KH-FD-CUPFAN-320-PR-085; KH-FD-CUPFAN-350-PE-086; KH-FD-CUPFAN-150-PR-087; KH-FD-CUPFAN-170-PR-088; KH-FD-CUPFAN-180-PE-089; KH-FD-CUPFAN-190-PR-090"
"https://www.shirongpaper.com/product-shirong-flexography-printing-black-coffee-tea-beverage-drink-cup-use-210gsm-single-pe-coated-paper-fan-raw-material","7","KH-FD-CUPFAN-210-PR-004; KH-FD-CUPFAN-180-PR-091; KH-FD-CUPFAN-190-PE-092; KH-FD-CUPFAN-210-PR-093; KH-FD-CUPFAN-230-PR-094; KH-FD-CUPFAN-240-PE-095; KH-FD-CUPFAN-250-PR-096"
"https://www.shirongpaper.com/product-biodegradable-flexography-printing-280-gsm-single-wall-pe-coated-paper-cup-fan-raw-material-for-hot-drinks-coffee-cups","7","KH-FD-CUPFAN-280-PR-005; KH-FD-CUPFAN-350-PR-097; KH-FD-CUPFAN-150-PE-098; KH-FD-CUPFAN-170-PR-099; KH-FD-CUPFAN-180-PR-100; KH-FD-CUPFAN-190-PE-101; KH-FD-CUPFAN-210-PR-102"
"https://www.shirongpaper.com/product-coffee-beverage-cup-use-app-recycled-1-pe-210gsm-high-coated-paper-fan-raw-materials","7","KH-FD-CUPFAN-210-PR-006; KH-FD-CUPFAN-250-MC-103; KH-FD-CUPFAN-280-PE-104; KH-FD-CUPFAN-300-MC-105; KH-FD-CUPFAN-320-PR-106; KH-FD-CUPFAN-350-PE-107; KH-FD-CUPFAN-150-PR-108"
"https://www.shirongpaper.com/product-biodegradable-flexo-printed-die-cutting-food-grade-160-350gsm-single-pe-coated-paper-cup-fan","7","KH-FD-CUPFAN-160350-PR-007; KH-FD-CUPFAN-160350-PR-109; KH-FD-CUPFAN-160350-PE-110; KH-FD-CUPFAN-160350-PR-111; KH-FD-CUPFAN-160350-PR-112; KH-FD-CUPFAN-160350-PE-113; KH-FD-CUPFAN-160350-PR-114"
"https://www.shirongpaper.com/product-coffee-tea-cup-making-machine-use-flexography-printing-single-pe-240gsm-pe-coated-paper-fan","7","KH-FD-CUPFAN-240-PR-008; KH-FD-CUPFAN-180-PR-115; KH-FD-CUPFAN-190-PE-116; KH-FD-CUPFAN-210-PR-117; KH-FD-CUPFAN-230-PR-118; KH-FD-CUPFAN-240-PE-119; KH-FD-CUPFAN-250-PR-120"
"https://www.shirongpaper.com/product-bagasse-custom-flexo-printing-hot-drink-8oz-paper-cups-fan-paper-raw-material","7","KH-FD-CUPFAN-150350-PR-009; KH-FD-CUPFAN-240-PR-121; KH-FD-CUPFAN-250-PE-122; KH-FD-CUPFAN-280-PR-123; KH-FD-CUPFAN-300-PR-124; KH-FD-CUPFAN-320-PE-125; KH-FD-CUPFAN-350-PR-126"
"https://www.shirongpaper.com/product-saudi-arabia-welcome-hot-sell-good-grade-pe-coated-wood-pulp-paper-cup-fan","7","KH-FD-CUPFAN-150350-PR-010; KH-FD-CUPFAN-300-PR-127; KH-FD-CUPFAN-320-PE-128; KH-FD-CUPFAN-350-PR-129; KH-FD-CUPFAN-150-PR-130; KH-FD-CUPFAN-170-PE-131; KH-FD-CUPFAN-180-PR-132"
